filename	model_title	model_url	modelstate	contributor	provider	date	OWL_consistent	shex_valid	shex_meta_problem	shex_data_problem	validation_time_milliseconds	axioms	n_rows_gpad	activity units	n complete activity units	n root MF activity units	n root BP process	n root CC locations	n unenabled activity units	n unlocated activity units	n activity units unconnected to a BP	n connected biological processes	n causal relation assertions	n unconnected activities	n activities with no outgoing connections	n activities with no incoming connections	max length of connected causal subgraph	median_depth_MF	median_depth_BP	median_depth_cc
ZFIN_ZDB-TRNAG-011205-25.ttl	mt-ta (ZFIN:ZDB-TRNAG-011205-25)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-25	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	868	88	4	2	0	1	1	0	0	2	1	0	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-TRNAG-011205-26.ttl	mt-tn (ZFIN:ZDB-TRNAG-011205-26)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-26	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1044	88	4	2	0	1	1	0	0	2	1	1	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-GENE-111201-3.ttl	rny1 (ZFIN:ZDB-GENE-111201-3)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-111201-3	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	705	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-TRNAG-011205-27.ttl	mt-tc (ZFIN:ZDB-TRNAG-011205-27)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-27	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	857	88	4	2	0	1	1	0	0	2	1	0	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-GENE-030325-1.ttl	prkaa1 (ZFIN:ZDB-GENE-030325-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030325-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	686	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-061110-100.ttl	ece1 (ZFIN:ZDB-GENE-061110-100)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-061110-100	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	772	69	2	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2020.ttl	dns (ZFIN:ZDB-GENE-070117-2020)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2020	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	830	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-060421-4286.ttl	dipk1aa (ZFIN:ZDB-GENE-060421-4286)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-060421-4286	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	857	70	3	2	0	2	1	0	0	2	1	1	0	2	2	2	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-070117-2028.ttl	drp (ZFIN:ZDB-GENE-070117-2028)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2028	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	724	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-525.ttl	irx3b (ZFIN:ZDB-GENE-030131-525)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-525	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1054	131	4	3	0	3	0	0	0	3	3	0	0	0	0	3	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2026.ttl	dbl (ZFIN:ZDB-GENE-070117-2026)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2026	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	936	100	3	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2027.ttl	drb (ZFIN:ZDB-GENE-070117-2027)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2027	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	802	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070912-330.ttl	irf4a (ZFIN:ZDB-GENE-070912-330)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070912-330	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1227	209	8	6	0	3	0	0	0	6	6	0	0	3	3	6	1	2.5	NaN	NaN
ZFIN_ZDB-GENE-080917-8.ttl	im:7152564 (ZFIN:ZDB-GENE-080917-8)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-080917-8	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	761	88	4	2	0	2	1	0	0	2	1	1	0	2	2	2	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-080917-5.ttl	im:7148882 (ZFIN:ZDB-GENE-080917-5)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-080917-5	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	775	88	4	2	0	2	1	0	0	2	1	0	0	2	2	2	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-070117-2033.ttl	eps (ZFIN:ZDB-GENE-070117-2033)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2033	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	827	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2034.ttl	era (ZFIN:ZDB-GENE-070117-2034)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2034	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	860	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-6896.ttl	larp7 (ZFIN:ZDB-GENE-030131-6896)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-6896	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	866	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2031.ttl	egl (ZFIN:ZDB-GENE-070117-2031)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2031	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	829	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-5564.ttl	cars2 (ZFIN:ZDB-GENE-030131-5564)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-5564	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	838	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-080917-1.ttl	im:7136398 (ZFIN:ZDB-GENE-080917-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-080917-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	922	88	4	2	0	2	1	0	0	2	1	0	0	2	2	2	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-081003-1.ttl	wnt3 (ZFIN:ZDB-GENE-081003-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-081003-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	823	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-061027-39.ttl	larp4b (ZFIN:ZDB-GENE-061027-39)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-061027-39	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	821	71	3	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-070117-2039.ttl	emp (ZFIN:ZDB-GENE-070117-2039)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2039	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	775	53	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
